name,kind,return_type,storage,params,file,line,signature
AcseConnection_createAssociateResponseMessage,definition,void,,"AcseConnection* self, uint8_t acseResult, BufferChain writeBuffer, BufferChain payload",mms/iso_acse/acse.c,513,"void AcseConnection_createAssociateResponseMessage(AcseConnection* self, uint8_t acseResult, BufferChain writeBuffer, BufferChain payload )"
AcseConnection_createReleaseRequestMessage,declaration,LIB61850_INTERNAL void,,"AcseConnection* self, BufferChain writeBuffer",mms/inc_private/acse.h,75,"LIB61850_INTERNAL void AcseConnection_createReleaseRequestMessage(AcseConnection* self, BufferChain writeBuffer)"
AcseConnection_createReleaseRequestMessage,declaration,(unknown),,"NULL, acseBuffer",mms/iso_client/iso_client_connection.c,880,"AcseConnection_createReleaseRequestMessage(NULL, acseBuffer)"
AcseConnection_createReleaseRequestMessage,definition,void,,"AcseConnection* self, BufferChain writeBuffer",mms/iso_acse/acse.c,830,"void AcseConnection_createReleaseRequestMessage(AcseConnection* self, BufferChain writeBuffer)"
AcseConnection_createReleaseResponseMessage,declaration,LIB61850_INTERNAL void,,"AcseConnection* self, BufferChain writeBuffer",mms/inc_private/acse.h,78,"LIB61850_INTERNAL void AcseConnection_createReleaseResponseMessage(AcseConnection* self, BufferChain writeBuffer)"
AcseConnection_createReleaseResponseMessage,declaration,(unknown),,"self->acseConnection, acseBufferPart",mms/iso_server/iso_connection.c,383,"AcseConnection_createReleaseResponseMessage(self->acseConnection, acseBufferPart)"
AcseConnection_createReleaseResponseMessage,definition,void,,"AcseConnection* self, BufferChain writeBuffer",mms/iso_acse/acse.c,848,"void AcseConnection_createReleaseResponseMessage(AcseConnection* self, BufferChain writeBuffer)"
AcseConnection_init,declaration,(unknown),,"&(self->acseConnection), NULL, NULL, NULL",mms/iso_client/iso_client_connection.c,245,"AcseConnection_init(&(self->acseConnection), NULL, NULL, NULL)"
AcseConnection_init,definition,void,,"AcseConnection* self, AcseAuthenticator authenticator, void* parameter, TLSSocket tlsSocket",mms/iso_acse/acse.c,425,"void AcseConnection_init(AcseConnection* self, AcseAuthenticator authenticator, void* parameter, TLSSocket tlsSocket)"
AcseConnection_parseMessage,declaration,LIB61850_INTERNAL AcseIndication,,"AcseConnection* self, ByteBuffer* message",mms/inc_private/acse.h,51,"LIB61850_INTERNAL AcseIndication AcseConnection_parseMessage(AcseConnection* self, ByteBuffer* message)"
AcseConnection_parseMessage,declaration,AcseIndication acseIndication =,,"&(self->acseConnection), &self->presentation->nextPayload",mms/iso_client/iso_client_connection.c,485,"AcseIndication acseIndication = AcseConnection_parseMessage(&(self->acseConnection), &self->presentation->nextPayload)"
AcseConnection_parseMessage,declaration,AcseIndication aIndication =,,"self->acseConnection, acseBuffer",mms/iso_server/iso_connection.c,213,"AcseIndication aIndication = AcseConnection_parseMessage(self->acseConnection, acseBuffer)"
AcseConnection_parseMessage,definition,AcseIndication,,"AcseConnection* self, ByteBuffer* message",mms/iso_acse/acse.c,445,"AcseIndication AcseConnection_parseMessage(AcseConnection* self, ByteBuffer* message)"
Asn1PrimitivaValue_compare,declaration,LIB61850_INTERNAL bool,,"Asn1PrimitiveValue* self, Asn1PrimitiveValue* otherValue",mms/inc_private/asn1_ber_primitive_value.h,29,"LIB61850_INTERNAL bool Asn1PrimitivaValue_compare(Asn1PrimitiveValue* self, Asn1PrimitiveValue* otherValue)"
Asn1PrimitivaValue_compare,declaration,case MMS_INTEGER: case MMS_UNSIGNED: return,,"self->value.integer, otherValue->value.integer",mms/iso_mms/common/mms_value.c,113,"case MMS_INTEGER: case MMS_UNSIGNED: return Asn1PrimitivaValue_compare(self->value.integer, otherValue->value.integer)"
Asn1PrimitivaValue_compare,definition,bool,,"Asn1PrimitiveValue* self, Asn1PrimitiveValue* otherValue",mms/asn1/asn1_ber_primitive_value.c,53,"bool Asn1PrimitivaValue_compare(Asn1PrimitiveValue* self, Asn1PrimitiveValue* otherValue)"
Asn1PrimitiveValue_clone,declaration,LIB61850_INTERNAL Asn1PrimitiveValue*,,Asn1PrimitiveValue* self,mms/inc_private/asn1_ber_primitive_value.h,26,LIB61850_INTERNAL Asn1PrimitiveValue* Asn1PrimitiveValue_clone(Asn1PrimitiveValue* self)
Asn1PrimitiveValue_clone,declaration,newValue->value.integer =,,self->value.integer,mms/iso_mms/common/mms_value.c,1191,newValue->value.integer = Asn1PrimitiveValue_clone(self->value.integer)
Asn1PrimitiveValue_clone,definition,Asn1PrimitiveValue*,,Asn1PrimitiveValue* self,mms/asn1/asn1_ber_primitive_value.c,27,Asn1PrimitiveValue* Asn1PrimitiveValue_clone(Asn1PrimitiveValue* self)
Asn1PrimitiveValue_create,declaration,return,,5,mms/asn1/ber_integer.c,29,return Asn1PrimitiveValue_create(5)
Asn1PrimitiveValue_create,declaration,Asn1PrimitiveValue* self =,,maxSize,mms/asn1/ber_integer.c,41,Asn1PrimitiveValue* self = Asn1PrimitiveValue_create(maxSize)
Asn1PrimitiveValue_create,declaration,return,,9,mms/asn1/ber_integer.c,166,return Asn1PrimitiveValue_create(9)
Asn1PrimitiveValue_create,declaration,LIB61850_INTERNAL Asn1PrimitiveValue*,,int size,mms/inc_private/asn1_ber_primitive_value.h,17,LIB61850_INTERNAL Asn1PrimitiveValue* Asn1PrimitiveValue_create(int size)
Asn1PrimitiveValue_destroy,declaration,LIB61850_INTERNAL void,,Asn1PrimitiveValue* self,mms/inc_private/asn1_ber_primitive_value.h,32,LIB61850_INTERNAL void Asn1PrimitiveValue_destroy(Asn1PrimitiveValue* self)
Asn1PrimitiveValue_destroy,declaration,case MMS_INTEGER: case MMS_UNSIGNED:,,self->value.integer,mms/iso_mms/common/mms_value.c,1294,case MMS_INTEGER: case MMS_UNSIGNED: Asn1PrimitiveValue_destroy(self->value.integer)
Asn1PrimitiveValue_destroy,declaration,case MMS_INTEGER: case MMS_UNSIGNED:,,self->value.integer,mms/iso_mms/common/mms_value.c,1338,case MMS_INTEGER: case MMS_UNSIGNED: Asn1PrimitiveValue_destroy(self->value.integer)
Asn1PrimitiveValue_destroy,definition,void,,Asn1PrimitiveValue* self,mms/asn1/asn1_ber_primitive_value.c,79,void Asn1PrimitiveValue_destroy(Asn1PrimitiveValue* self)
Asn1PrimitiveValue_getMaxSize,declaration,LIB61850_INTERNAL int,,Asn1PrimitiveValue* self,mms/inc_private/asn1_ber_primitive_value.h,23,LIB61850_INTERNAL int Asn1PrimitiveValue_getMaxSize(Asn1PrimitiveValue* self)
Asn1PrimitiveValue_getMaxSize,definition,int,,Asn1PrimitiveValue* self,mms/asn1/asn1_ber_primitive_value.c,73,int Asn1PrimitiveValue_getMaxSize(Asn1PrimitiveValue* self)
Asn1PrimitiveValue_getSize,declaration,LIB61850_INTERNAL int,,Asn1PrimitiveValue* self,mms/inc_private/asn1_ber_primitive_value.h,20,LIB61850_INTERNAL int Asn1PrimitiveValue_getSize(Asn1PrimitiveValue* self)
Asn1PrimitiveValue_getSize,definition,int,,Asn1PrimitiveValue* self,mms/asn1/asn1_ber_primitive_value.c,67,int Asn1PrimitiveValue_getSize(Asn1PrimitiveValue* self)
BerDecoder_decodeBoolean,declaration,LIB61850_INTERNAL bool,,"uint8_t* buffer, int bufPos",mms/inc_private/ber_decode.h,24,"LIB61850_INTERNAL bool BerDecoder_decodeBoolean(uint8_t* buffer, int bufPos)"
BerDecoder_decodeBoolean,declaration,case 0x81: moreFollows =,,"buffer, bufPos",mms/iso_mms/client/mms_client_files.c,645,"case 0x81: moreFollows = BerDecoder_decodeBoolean(buffer, bufPos)"
BerDecoder_decodeBoolean,declaration,case 0x81: *moreFollows =,,"buffer, bufPos",mms/iso_mms/client/mms_client_files.c,767,"case 0x81: *moreFollows = BerDecoder_decodeBoolean(buffer, bufPos)"
BerDecoder_decodeBoolean,declaration,bool extendedDerivation =,,"requestBuffer, bufPos",mms/iso_mms/server/mms_status_service.c,15,"bool extendedDerivation = BerDecoder_decodeBoolean(requestBuffer, bufPos)"
BerDecoder_decodeBoolean,definition,bool,,"uint8_t* buffer, int bufPos",mms/asn1/ber_decode.c,208,"bool BerDecoder_decodeBoolean(uint8_t* buffer, int bufPos)"
BerDecoder_decodeDouble,declaration,LIB61850_INTERNAL double,,"uint8_t* buffer, int bufPos",mms/inc_private/ber_decode.h,21,"LIB61850_INTERNAL double BerDecoder_decodeDouble(uint8_t* buffer, int bufPos)"
BerDecoder_decodeDouble,definition,double,,"uint8_t* buffer, int bufPos",mms/asn1/ber_decode.c,183,"double BerDecoder_decodeDouble(uint8_t* buffer, int bufPos)"
BerDecoder_decodeFloat,declaration,LIB61850_INTERNAL float,,"uint8_t* buffer, int bufPos",mms/inc_private/ber_decode.h,18,"LIB61850_INTERNAL float BerDecoder_decodeFloat(uint8_t* buffer, int bufPos)"
BerDecoder_decodeFloat,definition,float,,"uint8_t* buffer, int bufPos",mms/asn1/ber_decode.c,158,"float BerDecoder_decodeFloat(uint8_t* buffer, int bufPos)"
BerDecoder_decodeInt32,declaration,LIB61850_INTERNAL int32_t,,"uint8_t* buffer, int intlen, int bufPos",mms/inc_private/ber_decode.h,15,"LIB61850_INTERNAL int32_t BerDecoder_decodeInt32(uint8_t* buffer, int intlen, int bufPos)"
BerDecoder_decodeInt32,declaration,*rejectReason =,,"buffer, length, bufPos",mms/iso_mms/client/mms_client_connection.c,674,"*rejectReason = BerDecoder_decodeInt32(buffer, length, bufPos)"
BerDecoder_decodeInt32,declaration,int32_t frsmId =,,"buffer, maxBufPos - bufPos, bufPos",mms/iso_mms/client/mms_client_files.c,168,"int32_t frsmId = BerDecoder_decodeInt32(buffer, maxBufPos - bufPos, bufPos)"
BerDecoder_decodeInt32,declaration,int32_t frsmId =,,"buffer, maxBufPos - bufPos, bufPos",mms/iso_mms/client/mms_client_files.c,192,"int32_t frsmId = BerDecoder_decodeInt32(buffer, maxBufPos - bufPos, bufPos)"
BerDecoder_decodeInt32,declaration,case 0x80: *frsmId =,,"buffer, length, bufPos",mms/iso_mms/client/mms_client_files.c,699,"case 0x80: *frsmId = BerDecoder_decodeInt32(buffer, length, bufPos)"
BerDecoder_decodeInt32,declaration,int32_t frsmId =,,"buffer, maxBufPos - bufPos, bufPos",mms/iso_mms/server/mms_file_service.c,866,"int32_t frsmId = BerDecoder_decodeInt32(buffer, maxBufPos - bufPos, bufPos)"
BerDecoder_decodeInt32,declaration,int32_t frsmId =,,"buffer, maxBufPos - bufPos, bufPos",mms/iso_mms/server/mms_file_service.c,892,"int32_t frsmId = BerDecoder_decodeInt32(buffer, maxBufPos - bufPos, bufPos)"
BerDecoder_decodeInt32,definition,int32_t,,"uint8_t* buffer, int intlen, int bufPos",mms/asn1/ber_decode.c,136,"int32_t BerDecoder_decodeInt32(uint8_t* buffer, int intlen, int bufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &len, bufPos, maxBufPos",mms/iso_acse/acse.c,108,"bufPos = BerDecoder_decodeLength(buffer, &len, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &len, bufPos, maxBufPos",mms/iso_acse/acse.c,175,"bufPos = BerDecoder_decodeLength(buffer, &len, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &len, bufPos, maxBufPos",mms/iso_acse/acse.c,203,"bufPos = BerDecoder_decodeLength(buffer, &len, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &len, bufPos, maxBufPos",mms/iso_acse/acse.c,227,"bufPos = BerDecoder_decodeLength(buffer, &len, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &len, bufPos, maxBufPos",mms/iso_acse/acse.c,275,"bufPos = BerDecoder_decodeLength(buffer, &len, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &len, bufPos, maxBufPos",mms/iso_acse/acse.c,350,"bufPos = BerDecoder_decodeLength(buffer, &len, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &len, bufPos, maxBufPos",mms/iso_acse/acse.c,374,"bufPos = BerDecoder_decodeLength(buffer, &len, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &len, bufPos, messageSize",mms/iso_acse/acse.c,468,"bufPos = BerDecoder_decodeLength(buffer, &len, bufPos, messageSize)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, endPos",mms/iso_mms/client/mms_client_connection.c,533,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, endPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, endPos",mms/iso_mms/client/mms_client_connection.c,543,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, endPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_connection.c,585,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_connection.c,595,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_connection.c,647,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_connection.c,657,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buf, &length, bufPos, payload->size",mms/iso_mms/client/mms_client_connection.c,1360,"bufPos = BerDecoder_decodeLength(buf, &length, bufPos, payload->size)"
BerDecoder_decodeLength,declaration,bufPos =,,"buf, &invokeIdLength, bufPos, payload->size",mms/iso_mms/client/mms_client_connection.c,1368,"bufPos = BerDecoder_decodeLength(buf, &invokeIdLength, bufPos, payload->size)"
BerDecoder_decodeLength,declaration,bufPos =,,"buf, &length, bufPos, payload->size",mms/iso_mms/client/mms_client_connection.c,1417,"bufPos = BerDecoder_decodeLength(buf, &length, bufPos, payload->size)"
BerDecoder_decodeLength,declaration,bufPos =,,"buf, &length, bufPos, payload->size",mms/iso_mms/client/mms_client_connection.c,1436,"bufPos = BerDecoder_decodeLength(buf, &length, bufPos, payload->size)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,74,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, endPos",mms/iso_mms/client/mms_client_files.c,453,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, endPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,502,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,517,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,572,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,581,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,625,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,635,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,684,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,693,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,746,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_files.c,755,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_get_namelist.c,106,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_get_namelist.c,113,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_get_namelist.c,121,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_get_namelist.c,127,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_get_namelist.c,141,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_get_namelist.c,156,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_identify.c,44,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_identify.c,62,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_initiate.c,107,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_initiate.c,157,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_initiate.c,164,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_journals.c,24,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_journals.c,83,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_journals.c,152,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_journals.c,212,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_journals.c,286,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_journals.c,358,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_journals.c,418,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_journals.c,429,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_status.c,46,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buffer, &length, bufPos, maxBufPos",mms/iso_mms/client/mms_client_status.c,57,"bufPos = BerDecoder_decodeLength(buffer, &length, bufPos, maxBufPos)"
BerDecoder_decodeLength,declaration,bufPos =,,"buf, &length, bufPos, size",mms/iso_mms/client/mms_client_write.c,60,"bufPos = BerDecoder_decodeLength(buf, &length, bufPos, size)"
